排序,標題,縣市,區域,類別,備註,推薦者,搜尋連結,詳細地址,原始地址,評價,評論數,消費金額,標記刪除,商店網址,緯度,經度,flag,分享連結,flag2
2328,玉山社／星月書房出版公司,台北市,大安區,出版社,"推廣人權教育相關書籍
https://www.facebook.com/share/p/1BbHPYuo8x/",台派 Good 地圖,https://maps.google.com/?q=%E7%8E%89%E5%B1%B1%E7%A4%BE%EF%BC%8F%E6%98%9F%E6%9C%88%E6%9B%B8%E6%88%BF%E5%87%BA%E7%89%88%E5%85%AC%E5%8F%B8%20%E4%BB%81%E6%84%9B%E8%B7%AF%E5%9B%9B%E6%AE%B5145%E8%99%9F%E4%B8%89%E6%A8%93%E4%B9%8B2,仁愛路四段145號三樓之2,106060台北市大安區仁愛路四段145號三樓之2,4.8,4,,,,25.0381835,121.5515242,,https://maps.app.goo.gl/nhJ2aVpyi4jF4X2L7,
2329,Swan Cafe 天鵝桌遊館,台北市,文山區,遊戲店,罷免賴士葆連署書索取點，非常感謝！,台派 Good 地圖,https://maps.google.com/?q=Swan%2BCafe%2B%E5%A4%A9%E9%B5%9D%E6%A1%8C%E9%81%8A%E9%A4%A8%20%E7%BE%85%E6%96%AF%E7%A6%8F%E8%B7%AF%E4%BA%94%E6%AE%B5170%E5%B7%B737%E8%99%9F,羅斯福路五段170巷37號,116台北市文山區羅斯福路五段170巷37號,5,4687,,,,25.004543,121.5365838,,https://maps.app.goo.gl/zhva26kvefZgrYTN6,
2330,浮光書店,台北市,大同區,書店,提供全台大罷免連署書索取,台派 Good 地圖,https://maps.google.com/?q=%E6%B5%AE%E5%85%89%E6%9B%B8%E5%BA%97%20%E8%B5%A4%E5%B3%B0%E8%A1%9747%E5%B7%B716%E8%99%9F2%E6%A8%93,赤峰街47巷16號2樓,103台北市大同區赤峰街47巷16號2樓,4.5,1005,,,,25.0552559,121.5200937,,https://maps.app.goo.gl/jHww8BtDvxd3ikAL7,
2331,安東小吃,台北市,大安區,外賣自取餐廳,有貼台灣尚勇的春聯，還有民主小貼紙！,台派 Good 地圖,https://maps.google.com/?q=%E5%AE%89%E6%9D%B1%E5%B0%8F%E5%90%83%20%E5%BE%A9%E8%88%88%E5%8D%97%E8%B7%AF%E4%B8%80%E6%AE%B5122%E5%B7%B710-2%E8%99%9F1%E6%A8%93%E8%99%9F%E5%AE%89%E6%9D%B1%E8%A1%97,復興南路一段122巷10-2號1樓號安東街,10666台北市大安區復興南路一段122巷10-2號1樓號安東街,4.5,109,1-200,,,25.043611,121.542405,,https://maps.app.goo.gl/7Bkgshm67z2YJ8GcA,
2332,奎府聚書店 Kimotsi,台北市,大同區,書店,之前弄了宣傳罷免作家的書籍展示區,台派 Good 地圖,https://maps.google.com/?q=%E5%A5%8E%E5%BA%9C%E8%81%9A%E6%9B%B8%E5%BA%97%2BKimotsi%20%E8%B5%A4%E5%B3%B0%E8%A1%9741%E5%B7%B75%E8%99%9F1%E6%A8%93,赤峰街41巷5號1樓,103台北市大同區赤峰街41巷5號1樓,4.8,168,,,,25.0548802,121.5201427,,https://maps.app.goo.gl/nFWFezAKF6kRBQEx8,
2333,陽春麵粉袋 Springs Bakeshop,台北市,松山區,麵包西餅店,門口張貼：「沒有溝通，不是民主。」,台派 Good 地圖,https://maps.google.com/?q=%E9%99%BD%E6%98%A5%E9%BA%B5%E7%B2%89%E8%A2%8B%2BSprings%2BBakeshop%20%E6%B0%91%E6%AC%8A%E6%9D%B1%E8%B7%AF%E4%B8%89%E6%AE%B5103%E5%B7%B75%E5%BC%841%E8%99%9F,民權東路三段103巷5弄1號,105台北市松山區民權東路三段103巷5弄1號,5,28,1-200,感謝無名網友反饋: https://www.instagram.com/springsbakeshop/p/DOF5Xluk6Nd/,,25.0629068,121.5451006,,https://maps.app.goo.gl/ikecmj3198Mbc6856,
2334,開心豆花（冰箱故障，本週四含淚店休）,台北市,文山區,甜品店,"店家表示二二八為國殤並呼籲穿黑衣紀念
https://www.facebook.com/share/p/15LZAQEAKb/",台派 Good 地圖,https://maps.google.com/?q=%E9%96%8B%E5%BF%83%E8%B1%86%E8%8A%B1%EF%BC%88%E5%86%B0%E7%AE%B1%E6%95%85%E9%9A%9C%EF%BC%8C%E6%9C%AC%E9%80%B1%E5%9B%9B%E5%90%AB%E6%B7%9A%E5%BA%97%E4%BC%91%EF%BC%89%20%E8%90%AC%E6%85%B6%E8%A1%9725-1%E8%99%9F,萬慶街25-1號,116台北市文山區萬慶街25-1號,4.9,239,,,,24.9927071,121.539348,,https://maps.app.goo.gl/4hgBjsiBgsqs7kC18,
2335,金福咖啡 JinfuCoffee,台北市,文山區,咖啡店,台北市議員苗博雅在2022年時推薦(店家曾留言祝福苗博雅連任成功),台派 Good 地圖,https://maps.google.com/?q=%E9%87%91%E7%A6%8F%E5%92%96%E5%95%A1%2BJinfuCoffee%20%E8%90%AC%E9%9A%86%E8%A1%9713%E5%B7%B714%E8%99%9F,萬隆街13巷14號,116台北市文山區萬隆街13巷14號,4.5,383,200-400,,,24.9997783,121.5389805,,https://maps.app.goo.gl/Z5GjJrNmj2pB9jG29,
2336,合美自助餐,台北市,中山區,餐廳,老闆全家都深綠台獨,台派 Good 地圖,https://maps.google.com/?q=%E5%90%88%E7%BE%8E%E8%87%AA%E5%8A%A9%E9%A4%90%20%E6%9E%97%E6%A3%AE%E5%8C%97%E8%B7%AF119%E5%B7%B759%E8%99%9F,林森北路119巷59號,10491台北市中山區林森北路119巷59號,4.2,120,1-200,,,25.0503787,121.5270427,,https://maps.app.goo.gl/ZhKP4PRdRRxYoQF56,
2337,一間書店,台北市,大同區,書店,"店家支持大罷免藍委
https://www.facebook.com/share/p/1HcyxbHAKo/",台派 Good 地圖,https://maps.google.com/?q=%E4%B8%80%E9%96%93%E6%9B%B8%E5%BA%97%20%E9%95%B7%E5%AE%89%E8%A5%BF%E8%B7%AF138%E5%B7%B73%E5%BC%8411%E8%99%9F,長安西路138巷3弄11號,103台北市大同區長安西路138巷3弄11號,4.8,450,,,,25.0502896,121.5180565,,https://maps.app.goo.gl/tkMjPszAdAaPE9Xy5,
